fare_id,origin_id,destination_id
fare_360,25,3
fare_360,25,4
fare_340,25,5
fare_340,25,6
fare_340,25,7
fare_340,25,8
fare_300,25,9
fare_300,25,10
fare_300,25,11
fare_300,25,12
fare_340,25,13
fare_340,25,14
fare_340,25,15
fare_340,25,16
fare_340,25,17
fare_340,25,18
fare_360,25,19
fare_260,25,20
fare_260,25,21
fare_210,25,22
fare_210,25,23
fare_210,25,24
fare_210,25,26
fare_210,25,27
fare_210,25,28
fare_260,25,29
fare_260,25,30
fare_260,25,31
fare_260,25,32
fare_260,25,33
fare_260,25,34
fare_300,25,35
fare_300,25,36
fare_360,26,1
fare_360,26,2
fare_360,26,3
fare_360,26,4
fare_340,26,5
fare_340,26,6
fare_340,26,7
fare_340,26,8
fare_300,26,9
fare_300,26,10
fare_300,26,11
fare_300,26,12
fare_340,26,13
fare_300,26,14
fare_340,26,15
fare_340,26,16
fare_340,26,17
fare_340,26,18
fare_360,26,19
fare_260,26,20
fare_260,26,21
fare_260,26,22
fare_210,26,23
fare_210,26,24
fare_210,26,25
fare_210,26,27
fare_210,26,28
fare_210,26,29
fare_260,26,30
fare_260,26,31
fare_260,26,32
fare_260,26,33
fare_260,26,34
fare_300,26,35
fare_300,26,36
fare_360,27,1
fare_360,27,2
fare_360,27,3
fare_340,27,4
fare_340,27,5
fare_340,27,6
fare_340,27,7
fare_300,27,8
fare_300,27,9
fare_300,27,10
fare_300,27,11
fare_300,27,12
fare_340,27,13
fare_300,27,14
fare_300,27,15
fare_340,27,16
fare_340,27,17
fare_340,27,18
fare_340,27,19
fare_260,27,20
fare_260,27,21
fare_260,27,22
fare_260,27,23
fare_210,27,24
fare_210,27,25
fare_210,27,26
fare_210,27,28
fare_210,27,29
fare_210,27,30
fare_260,27,31
fare_260,27,32
fare_260,27,33
fare_260,27,34
fare_260,27,35
fare_300,27,36
fare_360,28,1
fare_360,28,2
fare_340,28,3
fare_340,28,4
fare_340,28,5
fare_340,28,6
fare_300,28,7
fare_300,28,8
fare_300,28,9
fare_300,28,10
fare_300,28,11
fare_300,28,12
fare_300,28,13
fare_300,28,14
fare_300,28,15
fare_300,28,16
fare_340,28,17
fare_340,28,18
fare_340,28,19
fare_260,28,20
fare_260,28,21
fare_260,28,22
fare_260,28,23
fare_260,28,24
fare_210,28,25
fare_210,28,26
fare_210,28,27
fare_210,28,29
fare_210,28,30
fare_210,28,31
fare_260,28,32
fare_260,28,33
fare_260,28,34
fare_260,28,35
fare_260,28,36
fare_360,29,1
fare_340,29,2
fare_340,29,3
fare_340,29,4
fare_340,29,5
fare_300,29,6
fare_300,29,7
fare_300,29,8
fare_300,29,9
fare_260,29,10
fare_260,29,11
fare_300,29,12
fare_300,29,13
fare_300,29,14
fare_300,29,15
fare_300,29,16
fare_300,29,17
fare_340,29,18
fare_340,29,19
fare_300,29,20
fare_260,29,21
fare_260,29,22
fare_260,29,23
fare_260,29,24
fare_260,29,25
fare_210,29,26
fare_210,29,27
fare_210,29,28
fare_210,29,30
fare_210,29,31
fare_210,29,32
fare_260,29,33
fare_260,29,34
fare_260,29,35
fare_260,29,36
fare_360,30,1
fare_340,30,2
fare_340,30,3
fare_340,30,4
fare_300,30,5
fare_300,30,6
fare_300,30,7
fare_300,30,8
fare_260,30,9
fare_260,30,10
fare_260,30,11
fare_260,30,12
fare_300,30,13
fare_300,30,14
fare_300,30,15
fare_300,30,16
fare_300,30,17
fare_300,30,18
fare_340,30,19
fare_300,30,20
fare_300,30,21
fare_260,30,22
fare_260,30,23
fare_260,30,24
fare_260,30,25
fare_260,30,26
fare_210,30,27
fare_210,30,28
fare_210,30,29
fare_210,30,31
fare_210,30,32
fare_210,30,33
fare_210,30,34
fare_260,30,35
fare_260,30,36
fare_340,31,1
fare_340,31,2
fare_340,31,3
fare_300,31,4
fare_300,31,5
fare_300,31,6
fare_300,31,7
fare_260,31,8
fare_260,31,9
fare_260,31,10
fare_260,31,11
fare_260,31,12
fare_300,31,13
fare_260,31,14
fare_300,31,15
fare_300,31,16
fare_300,31,17
fare_300,31,18
fare_300,31,19
fare_300,31,20
fare_300,31,21
fare_300,31,22
fare_260,31,23
fare_260,31,24
fare_260,31,25
fare_260,31,26
fare_260,31,27
fare_210,31,28
fare_210,31,29
fare_210,31,30
fare_210,31,32
fare_210,31,33
fare_210,31,34
fare_210,31,35
fare_260,31,36
fare_340,32,1
fare_340,32,2
fare_300,32,3
fare_300,32,4
fare_300,32,5
fare_300,32,6
fare_260,32,7
fare_260,32,8
fare_260,32,9
fare_260,32,10
fare_260,32,11
fare_260,32,12
fare_260,32,13
fare_260,32,14
fare_260,32,15
fare_300,32,16
fare_300,32,17
fare_300,32,18
fare_300,32,19
fare_300,32,20
fare_300,32,21
fare_300,32,22
fare_300,32,23
fare_260,32,24
fare_260,32,25
fare_260,32,26
fare_260,32,27
fare_260,32,28
fare_210,32,29
fare_210,32,30
fare_210,32,31
fare_210,32,33
fare_210,32,34
fare_210,32,35
fare_210,32,36
fare_340,33,1
fare_340,33,2
fare_300,33,3
fare_300,33,4
fare_300,33,5
fare_300,33,6
fare_260,33,7
fare_260,33,8
fare_260,33,9
fare_260,33,10
fare_210,33,11
fare_260,33,12
fare_260,33,13
fare_260,33,14
fare_260,33,15
fare_260,33,16
fare_300,33,17
fare_300,33,18
fare_300,33,19
fare_300,33,20
fare_300,33,21
fare_300,33,22
fare_300,33,23
fare_300,33,24
fare_260,33,25
fare_260,33,26
fare_260,33,27
fare_260,33,28
fare_260,33,29
fare_210,33,30
fare_210,33,31
fare_210,33,32
fare_210,33,34
fare_210,33,35
fare_210,33,36
fare_340,34,1
fare_300,34,2
fare_300,34,3
fare_300,34,4
fare_300,34,5
fare_260,34,6
fare_260,34,7
fare_260,34,8
fare_260,34,9
fare_210,34,10
fare_210,34,11
fare_260,34,12
fare_260,34,13
fare_260,34,14
fare_260,34,15
fare_260,34,16
fare_260,34,17
fare_300,34,18
